"V10","V11","V12"
-5669.16,-1901.029,-1723.193
-6033.71,21.317,-1729.365
-6425.075,2117.191,-1751.019
-5677.294,-1892.665,66.549
-6039.824,46.061,75.596
-6428.713,2135.837,86.561
-5682.648,-1887.953,1517.508
-6041.953,44.327,1497.15
-6430.443,2137.128,1481.996
-2765.623,4652.019,-1753.074
530.176,5264.332,-1732.544
-2759.067,4653.893,-261.006
529.19,5266.216,-276.621
-2753.826,4655.26,958.044
-1253.415,4927.793,578.481
532.978,5261.839,985.213
6762.414,4117.796,109.386
7435.828,532.763,-1676.498
7505.629,144.123,89.026
7428.347,548.663,1534.897
