"V7","V8","V9"
-2632.3,8047.03,-1705.237
-721.488,8472.509,-1705.506
1360.361,8931.774,-1721.195
-2627.434,8049.515,84.342
-702.15,8474.347,98.78
1375.119,8929.167,115.863
-2625.024,8049.02,1535.822
-706.809,8471.793,1523.457
1373.225,8927.037,1511.152
4011.257,5354.077,-1729.488
4728.472,2080.65,-1719.226
4010.312,5343.593,-237.147
4727.367,2077.189,-263.106
4008.327,5334.318,981.36
4330.595,3844.589,596.37
4719.851,2068.358,998.986
3779.48,-4191.74,98.724
221.885,-4973.359,-1698.146
-169.76,-5061.372,67.073
230.247,-4974.938,1514.21
