"V1","V2","V3"
1553.975,-3254.187,-1097.807
-378.192,-3562.156,-1102.409
-2483.609,-3891.784,-1121.806
1546.348,-3257.326,692.044
-401.84,-3562.225,702.547
-2502.522,-3888.369,714.927
1541.448,-3256.774,2142.563
-400.515,-3559.507,2124.929
-2504.37,-3886.14,2110.586
-4910.784,-158.791,-1135.419
-5425.281,3152.634,-1125.73
-4912.684,-147.793,357.71
-5427.155,3156.735,331.298
-4912.519,-138.486,1575.682
-5141.671,1367.683,1190.676
-5421.711,3165.073,1593.287
-4095.734,9355.444,697.545
-494.338,9917.024,-1089.346
-101.522,9980.865,672.438
-509.412,9919.95,2120.564
